idFeuillet;idPersonne;mtmx;mtmy;SRDOMI;nbPersLogi;facteurPersonne;facteurLogement;age;permis;statut;sexe;SRIDU
193119;193119 1;296626;5044726;4620213;2;18.64;19.57;59;1;1;2;4620213.00
193119;193119 2;296626;5044726;4620213;2;19.65;19.57;62;1;1;1;4620213.00
193126;193126 1;296356;5042299;4620363;1;17.05;27.14;66;2;4;2;4620363.00
193127;193127 1;297155;5042626;4620169;2;19.07;17.86;50;1;1;1;4620169.00
193127;193127 2;297155;5042626;4620169;2;17.07;17.86;45;1;1;2;4620169.00
193135;193135 1;296863;5047090;4620253;1;19.44;21.16;66;2;4;2;4620253.00
193141;193141 1;297944;5046575;4620201;1;28.24;27.03;48;1;1;1;4620201.00
193149;193149 1;292938;5045786;4620265;6;23.47;26.39;31;1;7;2;4620265.00
193149;193149 2;292938;5045786;4620265;6;27.84;26.39;31;1;1;1;4620265.00
193149;193149 3;292938;5045786;4620265;6;26.36;26.39;8;5;3;2;4620265.00
193149;193149 4;292938;5045786;4620265;6;26.36;26.39;6;5;3;2;4620265.00
193149;193149 5;292938;5045786;4620265;6;28.33;26.39;2;5;6;1;4620265.00
193149;193149 6;292938;5045786;4620265;6;28.33;26.39;1;5;6;1;4620265.00
193163;193163 1;299114;5044016;4620155;2;17.19;17.86;55;1;5;1;4620155.00
193163;193163 2;299114;5044016;4620155;2;15.8;17.86;50;1;1;2;4620155.00
193174;193174 1;303114;5052446;4620003;2;31.82;28.95;45;1;1;2;4620003.00
193174;193174 2;303114;5052446;4620003;2;31.59;28.95;12;5;3;2;4620003.00
193185;193185 1;296129;5045701;4620242;1;31.59;32.22;77;2;4;2;4620242.00
193189;193189 1;301614;5050781;4620192;5;28.43;28.69;59;1;1;1;4620192.00
193189;193189 2;301614;5050781;4620192;5;31.53;28.69;47;1;1;2;4620192.00
193189;193189 3;301614;5050781;4620192;5;25.68;28.69;18;1;3;1;4620192.00
