stop_id,mtmx,mtmy,lat,lng,wheelchair,SRIDU,stop_name,countStopTimes,countStopTimesSemaine,countStopTimesSamedi,countStopTimesDimanche
100104,301738.06,5046715.16,45.560341,-73.539222,2,4620015.00,Viau / de Rouen,474,111,96,89
100105,302012.88,5046586.78,45.559187,-73.535701,2,4620015.00,Viau / Ontario,474,111,96,89
100106,302173.20,5046511.92,45.558514,-73.533647,2,4620015.00,Viau / La Fontaine,240,53,49,46
100107,302323.92,5046441.40,45.55788,-73.531716,2,4620015.00,Viau / Adam,240,53,49,46
100108,302455.92,5046379.79,45.557326,-73.530025,2,4620015.00,Viau / Sainte-Catherine,240,53,49,46
100323,301473.69,5050462.33,45.594058,-73.542634,1,4620192.00,Louis-Hippolyte-La Fontaine / Curatteau,959,288,200,157
100360,294959.40,5035627.94,45.460511,-73.625831,1,4620103.00,Saint-Jacques / No 6640,647,168,130,107
100370,294869.81,5035454.16,45.458946,-73.626973,1,4620097.01,Saint-Jacques / No 6710,647,168,130,107
100664,294466.41,5041526.43,45.513581,-73.632259,1,4620400.00,Jean-Talon / Wilderton,440,92,90,86
100782,301116.92,5046774.95,45.560876,-73.547179,1,4620015.00,Station Viau,1266,362,250,210
101260,299639.42,5045804.48,45.552134,-73.566095,1,4620187.01,Saint-Joseph / No 3500,480,134,84,88
101291,300970.97,5047090.21,45.563712,-73.549051,1,4620014.01,Viau / de Marseille,708,208,136,118
101313,300935.53,5047080.34,45.563623,-73.549505,1,4620014.01,Viau / centre sportif Pierre-Charbonneau,666,184,132,112
101341,301394.73,5050595.18,45.595253,-73.543647,1,4620192.00,Louis-Hippolyte-La Fontaine / Fonteneau,910,257,191,154
101354,293734.26,5034928.97,45.454203,-73.641481,1,4620098.00,Sherbrooke / Gare Montréal-Ouest,2251,590,461,388
101391,299055.67,5041067.80,45.509507,-73.573516,1,4620143.00,du Parc / Milton,1393,397,251,243
101401,298899.57,5041169.63,45.510422,-73.575515,1,4620143.00,du Parc / Prince-Arthur,1393,397,251,243
101450,299988.09,5044744.45,45.542598,-73.561619,1,4620029.00,Rachel / André-Laurendeau,710,176,147,125
101589,295889.51,5040983.70,45.508717,-73.614035,1,4620124.00,Édouard-Montpetit / No 2141,1391,367,280,243
101641,298785.49,5041247.20,45.511119,-73.576976,1,4620143.00,du Parc / Léo-Pariseau,1393,397,251,243
101700,294688.20,5041704.32,45.515185,-73.629424,1,4620400.00,Bates / No 240,410,86,90,78
102212,299668.19,5042405.62,45.52155,-73.565691,1,4620141.00,Sherbrooke / du Parc-La Fontaine,92,26,28,10
102292,285000.48,5041204.87,45.510483,-73.753399,2,4620288.00,Gouin / du Ruisseau,522,155,99,84
102322,285816.48,5042143.52,45.518952,-73.742992,2,4620288.00,Gouin / Wilfrid-Lazure,522,155,99,84
102332,285957.10,5042298.24,45.520348,-73.741198,2,4620288.00,Gouin / Antoine-Berthelet,522,155,99,84
102352,286193.53,5042569.47,45.522795,-73.738182,1,4620287.02,Gouin / Albert-Prévost,522,155,99,84
102362,286342.62,5042716.06,45.524118,-73.736279,1,4620287.02,Gouin / Toupin,522,155,99,84
102364,286328.39,5042684.21,45.523831,-73.73646,1,4620287.02,Gouin / Toupin,520,153,102,81
102368,286356.30,5042668.01,45.523686,-73.736102,1,4620287.02,Toupin / Gouin,555,150,105,100
102371,286495.59,5042803.52,45.524909,-73.734324,1,4620287.02,de Beauséjour / Gouin,555,150,105,100
102372,286484.42,5042827.66,45.525126,-73.734468,1,4620287.02,Gouin / de Beauséjour,522,155,99,84
102374,286470.51,5042799.14,45.524869,-73.734645,1,4620287.02,Gouin / de Beauséjour,520,153,102,81
102382,286648.50,5042896.20,45.525747,-73.73237,1,4620287.01,Gouin / Olivier,522,155,99,84
102384,286678.41,5042891.45,45.525705,-73.731987,1,4620287.01,Gouin / Olivier,520,153,102,81
